127.0.0.1 - - [25/May/2018:22:38:53 +0000] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [25/May/2018:22:38:54 +0000] "GET /pfe/ HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [25/May/2018:22:38:55 +0000] "GET /pfe/presentation/css/accueilStyle.css HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [25/May/2018:22:38:55 +0000] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [25/May/2018:22:38:55 +0000] "GET /pfe/presentation/img/logoFsac.png HTTP/1.1" 200 31865
0:0:0:0:0:0:0:1 - - [25/May/2018:22:38:55 +0000] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 500 16384
0:0:0:0:0:0:0:1 - - [25/May/2018:22:38:55 +0000] "GET /pfe/presentation/img/user1.png HTTP/1.1" 200 10350
0:0:0:0:0:0:0:1 - - [25/May/2018:22:38:55 +0000] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [25/May/2018:22:38:55 +0000] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:02 +0000] "POST /pfe/accueil HTTP/1.1" 200 7009
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:03 +0000] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:03 +0000] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:03 +0000] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 200 8512
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:03 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:03 +0000] "GET /pfe/presentation/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:03 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:09 +0000] "GET /pfe/ouvrage HTTP/1.1" 200 15098
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:09 +0000] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:09 +0000] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 200 8512
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:09 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:09 +0000] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 500 16384
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:09 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:24 +0000] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:24 +0000] "GET /pfe/presentation/css/accueilStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:24 +0000] "GET /pfe/presentation/img/logoFsac.png HTTP/1.1" 200 31865
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:24 +0000] "GET /pfe/presentation/img/user1.png HTTP/1.1" 200 10350
0:0:0:0:0:0:0:1 - - [25/May/2018:22:39:28 +0000] "POST /pfe/accueil HTTP/1.1" 200 7011
