127.0.0.1 - - [06/May/2018:23:57:50 +0100] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [06/May/2018:23:58:07 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [06/May/2018:23:58:14 +0100] "GET /pfe/presentation/css/accueilStyle.css HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [06/May/2018:23:58:14 +0100] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [06/May/2018:23:58:14 +0100] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [06/May/2018:23:58:14 +0100] "GET /pfe/presentation/img/user1.png HTTP/1.1" 200 10350
0:0:0:0:0:0:0:1 - - [06/May/2018:23:58:14 +0100] "GET /pfe/presentation/img/logoFsac.png HTTP/1.1" 200 31865
0:0:0:0:0:0:0:1 - - [06/May/2018:23:58:14 +0100] "GET /pfe/presentation/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2018:23:58:14 +0100] "GET /pfe/presentation/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2018:23:58:14 +0100] "GET /pfe/presentation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2018:23:58:19 +0100] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [06/May/2018:23:58:30 +0100] "POST /pfe/accueil HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [06/May/2018:23:59:27 +0100] "POST /pfe/accueil HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [06/May/2018:23:59:27 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [06/May/2018:23:59:28 +0100] "GET /pfe/presentation/js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2018:23:59:28 +0100] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2018:23:59:28 +0100] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2018:23:59:28 +0100] "GET /pfe/presentation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2018:23:59:28 +0100] "GET /pfe/presentation/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2018:23:59:28 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [06/May/2018:23:59:34 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
