0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:46:45 +0100] "GET /pfe/presentation/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:46:46 +0100] "GET /pfe/presentation/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:46:46 +0100] "GET /pfe/presentation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:46:59 +0100] "POST /pfe/accueil HTTP/1.1" 200 6103
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:46:59 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:47:08 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:47:57 +0100] "POST /pfe/accueil HTTP/1.1" 200 6104
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:47:57 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:48:08 +0100] "GET /pfe/notificationDirecteur HTTP/1.1" 200 6104
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:48:08 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:48:09 +0100] "GET /pfe/memebreLabo HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:48:10 +0100] "GET /pfe/notificationDirecteur HTTP/1.1" 200 6104
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:48:10 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:48:12 +0100] "GET /pfe/notificationDirecteur HTTP/1.1" 200 6104
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:48:12 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:48:16 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:48:17 +0100] "GET /pfe/notificationDirecteur HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:48:20 +0100] "GET /pfe/notificationDirecteur HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:53:28 +0100] "GET /pfe/notificationDirecteur HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [30/Apr/2018:00:53:34 +0100] "POST /pfe/accueil HTTP/1.1" 200 6104
