127.0.0.1 - - [28/May/2018:09:55:46 +0000] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:10 +0000] "GET /pfe/ HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:13 +0000] "GET /pfe/presentation/css/accueilStyle.css HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:13 +0000] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:13 +0000] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 500 16384
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:13 +0000] "GET /pfe/presentation/img/user1.png HTTP/1.1" 200 10350
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:13 +0000] "GET /pfe/presentation/img/logoFsac.png HTTP/1.1" 200 31865
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:22 +0000] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:22 +0000] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:29 +0000] "POST /pfe/accueil HTTP/1.1" 200 10870
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:30 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:30 +0000] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:30 +0000] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 200 8512
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:30 +0000] "GET /pfe/presentation/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:32 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:33 +0000] "GET /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:33 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:34 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:46 +0000] "POST /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:47 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:09:56:47 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:01:10 +0000] "GET /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:01:10 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:01:10 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:01:19 +0000] "POST /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:01:19 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:01:19 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:01:35 +0000] "GET /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:01:35 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:01:35 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:03:24 +0000] "GET /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:03:24 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:03:25 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:03:32 +0000] "POST /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:03:32 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:03:33 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:04:51 +0000] "GET /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:04:51 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:04:51 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:04:58 +0000] "POST /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:04:58 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:04:59 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:05:46 +0000] "GET /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:05:46 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:05:46 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:05:54 +0000] "POST /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:05:54 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:05:54 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:08:39 +0000] "GET /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:08:39 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:08:39 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:08:48 +0000] "POST /pfe/notificationDirecteur HTTP/1.1" 500 1564
0:0:0:0:0:0:0:1 - - [28/May/2018:10:09:50 +0000] "GET /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:09:50 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:09:50 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:09:57 +0000] "POST /pfe/notificationDirecteur HTTP/1.1" 500 1564
0:0:0:0:0:0:0:1 - - [28/May/2018:10:14:04 +0000] "GET /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:14:04 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:14:04 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:14:12 +0000] "POST /pfe/notificationDirecteur HTTP/1.1" 500 1564
0:0:0:0:0:0:0:1 - - [28/May/2018:10:15:24 +0000] "GET /pfe/notificationDirecteur HTTP/1.1" 200 16884
0:0:0:0:0:0:0:1 - - [28/May/2018:10:15:24 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:15:24 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:15:34 +0000] "POST /pfe/notificationDirecteur HTTP/1.1" 200 16563
0:0:0:0:0:0:0:1 - - [28/May/2018:10:15:34 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:15:34 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:34:39 +0000] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [28/May/2018:10:34:43 +0000] "POST /pfe/accueil HTTP/1.1" 200 7011
0:0:0:0:0:0:0:1 - - [28/May/2018:10:34:43 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:34:43 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2018:10:34:47 +0000] "GET /pfe/ouvrage HTTP/1.1" 200 21632
0:0:0:0:0:0:0:1 - - [28/May/2018:10:34:47 +0000] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
