127.0.0.1 - - [12/May/2018:01:30:09 +0100] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [12/May/2018:01:30:11 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [12/May/2018:01:30:12 +0100] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [12/May/2018:01:30:12 +0100] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 500 16384
0:0:0:0:0:0:0:1 - - [12/May/2018:01:30:12 +0100] "GET /pfe/presentation/css/accueilStyle.css HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [12/May/2018:01:30:12 +0100] "GET /pfe/presentation/img/user1.png HTTP/1.1" 200 10350
0:0:0:0:0:0:0:1 - - [12/May/2018:01:30:12 +0100] "GET /pfe/presentation/img/logoFsac.png HTTP/1.1" 200 31865
0:0:0:0:0:0:0:1 - - [12/May/2018:01:30:13 +0100] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [12/May/2018:01:30:13 +0100] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [12/May/2018:01:30:21 +0100] "POST /pfe/accueil HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [12/May/2018:01:31:16 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [12/May/2018:01:31:22 +0100] "POST /pfe/accueil HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [12/May/2018:01:31:22 +0100] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [12/May/2018:01:31:22 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [12/May/2018:01:31:22 +0100] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 200 8512
0:0:0:0:0:0:0:1 - - [12/May/2018:01:31:23 +0100] "GET /pfe/presentation/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [12/May/2018:01:31:23 +0100] "GET /pfe/presentation/js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:01:31:23 +0100] "GET /pfe/presentation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:01:31:23 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [12/May/2018:01:32:42 +0100] "GET /pfe/presentation/css/bootstrap.min.css.map HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [12/May/2018:01:32:56 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [12/May/2018:01:33:10 +0100] "GET /pfe/ouvrage HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [12/May/2018:01:33:15 +0100] "POST /pfe/accueil HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [12/May/2018:01:33:15 +0100] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 304 -
