127.0.0.1 - - [08/May/2018:23:55:52 +0100] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [08/May/2018:23:56:01 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [08/May/2018:23:56:09 +0100] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [08/May/2018:23:56:09 +0100] "GET /pfe/presentation/css/accueilStyle.css HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [08/May/2018:23:56:09 +0100] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [08/May/2018:23:56:09 +0100] "GET /pfe/presentation/img/user1.png HTTP/1.1" 200 10350
0:0:0:0:0:0:0:1 - - [08/May/2018:23:56:09 +0100] "GET /pfe/presentation/img/logoFsac.png HTTP/1.1" 200 31865
0:0:0:0:0:0:0:1 - - [08/May/2018:23:56:10 +0100] "GET /pfe/presentation/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:56:10 +0100] "GET /pfe/presentation/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:56:10 +0100] "GET /pfe/presentation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:56:15 +0100] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [08/May/2018:23:56:25 +0100] "POST /pfe/accueil HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:20 +0100] "POST /pfe/accueil HTTP/1.1" 200 6725
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:20 +0100] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:20 +0100] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 200 8512
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:20 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:20 +0100] "GET /pfe/presentation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:21 +0100] "GET /pfe/presentation/js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:21 +0100] "GET /pfe/presentation/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:21 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:24 +0100] "GET /pfe/notificationDirecteur HTTP/1.1" 200 7268
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:24 +0100] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:24 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:24 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:26 +0100] "GET /pfe/bilan HTTP/1.1" 200 7387
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:27 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:27 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:27 +0100] "GET /pfe/presentation/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:27 +0100] "GET /pfe/presentation/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:27 +0100] "GET /pfe/Budgets HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:53 +0100] "GET /pfe/bilan HTTP/1.1" 200 7387
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:57:54 +0100] "GET /pfe/Budgets HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/bilan HTTP/1.1" 200 7387
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/presentation/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/presentation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/presentation/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/presentation/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/presentation/js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/presentation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:07 +0100] "GET /pfe/presentation/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:08 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:08 +0100] "GET /pfe/Budgets HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:12 +0100] "GET /pfe/messagerie HTTP/1.1" 200 6119
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:13 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:13 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:14 +0100] "GET /pfe/bilan HTTP/1.1" 200 7387
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:14 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:14 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:14 +0100] "GET /pfe/Budgets HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:18 +0100] "GET /pfe/evenement HTTP/1.1" 200 22420
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:18 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:19 +0100] "GET /pfe/presentation/css/timeLine.css HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [08/May/2018:23:58:19 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:59:08 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [08/May/2018:23:59:15 +0100] "POST /pfe/accueil HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [08/May/2018:23:59:15 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:59:15 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:59:47 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [08/May/2018:23:59:54 +0100] "POST /pfe/accueil HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [08/May/2018:23:59:54 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/May/2018:23:59:54 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
