0:0:0:0:0:0:0:1 - - [02/May/2018:11:09:40 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:09:41 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:09:46 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [02/May/2018:11:09:46 +0100] "GET /pfe/presentation/css/accueilStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:09:46 +0100] "GET /pfe/presentation/img/user1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:09:46 +0100] "GET /pfe/presentation/img/logoFsac.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:09:50 +0100] "POST /pfe/accueil HTTP/1.1" 200 7006
0:0:0:0:0:0:0:1 - - [02/May/2018:11:09:50 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:09:51 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:09:54 +0100] "GET /pfe/journal HTTP/1.1" 200 21042
0:0:0:0:0:0:0:1 - - [02/May/2018:11:09:54 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:09:54 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:33 +0100] "GET /pfe/journal HTTP/1.1" 200 21042
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:33 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:33 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:36 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15259
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:36 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:36 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:46 +0100] "GET /pfe/journal HTTP/1.1" 200 21042
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:46 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:46 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:50 +0100] "GET /pfe/creativiteLitteraire HTTP/1.1" 200 12482
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:50 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:50 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:51 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15259
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:51 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:10:51 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:04 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15259
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:04 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:04 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:24 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15429
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:24 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:24 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:33 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15259
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:33 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:33 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:38 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:45 +0100] "POST /pfe/accueil HTTP/1.1" 200 7006
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:46 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:46 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:48 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15259
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:48 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:11:48 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:15:53 +0100] "GET /pfe/conference HTTP/1.1" 200 20530
0:0:0:0:0:0:0:1 - - [02/May/2018:11:15:53 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:15:53 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:16:04 +0100] "GET /pfe/notification HTTP/1.1" 200 7006
0:0:0:0:0:0:0:1 - - [02/May/2018:11:16:04 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:16:04 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:21:52 +0100] "GET /pfe/conference HTTP/1.1" 200 20530
0:0:0:0:0:0:0:1 - - [02/May/2018:11:21:52 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:21:52 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:28:28 +0100] "GET /pfe/journal HTTP/1.1" 200 21042
0:0:0:0:0:0:0:1 - - [02/May/2018:11:28:28 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:28:28 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:29:25 +0100] "GET /test/bonjour HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [02/May/2018:11:29:35 +0100] "GET /pfe/bonjour HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:37 +0100] "GET /pfe/journal HTTP/1.1" 200 21042
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:37 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:38 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:40 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15279
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:40 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:40 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:22 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15268
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:22 +0100] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:22 +0100] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:22 +0100] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:22 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:22 +0100] "GET /pfe/presentation/js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:22 +0100] "GET /pfe/presentation/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:22 +0100] "GET /pfe/presentation/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:22 +0100] "GET /pfe/presentation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:22 +0100] "GET /pfe/presentation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:22 +0100] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:22 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:24 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15268
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:25 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:25 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:34 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15268
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:34 +0100] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:34 +0100] "GET /pfe/presentation/css/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:34 +0100] "GET /pfe/presentation/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:34 +0100] "GET /pfe/presentation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:34 +0100] "GET /pfe/presentation/js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:34 +0100] "GET /pfe/presentation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:34 +0100] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:34 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:34 +0100] "GET /pfe/presentation/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:34 +0100] "GET /pfe/presentation/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:34 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:38 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15268
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:38 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:38 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:44 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 15259
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:44 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/May/2018:11:39:44 +0100] "GET /pfe/presentation/js/sb-admin-2.js HTTP/1.1" 404 1028
